Name;Name2;Name3;;Stadt;Land
Gradina Botanica Macea;Universitatea de Vest;"Vasile Goldis" din Arad;;com. MACEA, jud. Arad;ROMANIA
Universität Bielefeld;Fakultät für Biologie-Gärtnerei-;Postfach 10 01 31;;Bielefeld;Deutschland
Singapore Botanic Gardens;Plant Introduction Unit;National Park Board;;Singapore 1025;REPUBLIC OF SINGAPORE
Humboldt-Universität zu Berlin;Institut f. Biologie;Späth-Arboretum;;Berlin;Deutschland
Hortus Centralis;Cultura Herbarum Medicarum;Universitatis Masarykiana;;Brno;CZECH REPUBLIC
Botanical Garden Yeomiji;2484-1,;Saekdal-dong,;;Sogwipo-city, Jeju-do;Republic of Korea
Dendrological Garden;Arkhangelsk Forest and;Northern Research Institute of Forestry;;Arkhangelsk;RUSSIA
Hortus Botanicus F.N.Rusanovi;Academy Scienes of Uzbekistan;;;Tashkent;UZBEKISTAN
Jardin Botanico Nacional;;Camino el Olivar no 305 El Salto;;Vina del Mar;CHILE
Gesellschaft der Staudenfreunde;Geschäftsstelle Frau Evi Roth;;;Ettenheim;Deutschland
Botanischer Garten;der Universität;Freiburg im Breisgau;;Freiburg i.Br.;Deutschland
Botanischer Garten;der Universität;;;Frankfurt am Main;Deutschland
Gibraltar Botanical Gardens;The Alameda;;;;GIBRALTAR
Botanic Garden;Mount Holyoke College;;;South Hadley / Massechusetts 01075-6440;U.S.A.
Botanical Garden;Fredriksdal sfriluftsmuseum;Box 7123;;Helsingborg;SWEDEN
Botanical Garden;University of Lund;;;Lund;SWEDEN
Botanischer Garten;der Heinrich-Heine-Universität;;;Düsseldorf;Deutschland
Grugapark Essen;;;;Essen;Deutschland
Seed Bank and Seed Laboratory;Taiwan Forestry Research Institute;Division of Taipei Botanical Garden;;Taipei, Taiwan;PEOPLE'S REP. OF CHINA
Hortus Botanicus Principalis;Academiae Scientiarum Rossicae;;;Mosqua 276;RUSSIA
Badenweiler;Thermen und Touristik GmbH;Abt. 5.1. Kurpark;;Badenweiler;Deutschland
Hortus Botanicus;Instituti Plantarum Medicinalium et Aromaticarum;NPO „VILAR";;Moskva M-216;RUSSIA
Nanjing Botanical Garden;Mem. Sun Yat-sen;;;Nanjing/ Jiangsu;PEOPLE'S REP. OF CHINA
Lewis Ginter Botanic Gardens;Horticulture Department;;;Richmond VA 23228-4700;U.S.A.
